Valid Routes = {
"Hyderabad": ["Guntur", "Vijayawada"],
"Bangalore": ["Tirupati", "Chittoor"],
"Tirupati": ["Bangalore"],
"Chittoor": ["Bangalore"],
"Vijayawada": ["Hyderabad"],
"Guntur": ["Hyderabad"]
}

bus schedule

Date	Service Number	Service ID	Sector
2025-03-18	HYD-VJY-AC-SE-1140	40	H-V
2025-03-18	HYD-VJY-AC-SE-1500	58	H-V
2025-03-18	HYD-VJY-AC-SE-2110	61	H-V
2025-03-18	HYD-VJY-AC-SE-2200	48	H-V
2025-03-18	HYD-VJY-AC-SE-2220	37	H-V
2025-03-18	HYD-VJY-AC-SE-2325	38	H-V
2025-03-18	VJY-HYD-AC-SE-0430	59	V-H
2025-03-18	VJY-HYD-AC-SE-0900	60	V-H
2025-03-18	VJY-HYD-AC-SE-1000	41	V-H
2025-03-18	VJY-HYD-AC-SE-1050	53	V-H
2025-03-18	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-18	VJY-HYD-AC-SE-1600	50	V-H
2025-03-18	VJY-HYD-AC-SE-1700	51	V-H
2025-03-18	VJY-HYD-AC-SE-2130	57	V-H
2025-03-18	VJY-HYD-AC-SE-2230	43	V-H
2025-03-18	VJY-HYD-AC-SE-2300	44	V-H
2025-03-18	VJY-HYD-AC-SE-2330	52	V-H
2025-03-19	HYD-VJY-AC-SE-0415	55	H-V
2025-03-19	HYD-VJY-AC-SE-0530	47	H-V
2025-03-19	HYD-VJY-AC-SE-0900	76	H-V
2025-03-19	HYD-VJY-AC-SE-1010	39	H-V
2025-03-19	HYD-VJY-AC-SE-1100	49	H-V
2025-03-19	HYD-VJY-AC-SE-1140	40	H-V
2025-03-19	HYD-VJY-AC-SE-1500	58	H-V
2025-03-19	HYD-VJY-AC-SE-2110	61	H-V
2025-03-19	HYD-VJY-AC-SE-2200	48	H-V
2025-03-19	HYD-VJY-AC-SE-2220	37	H-V
2025-03-19	HYD-VJY-AC-SE-2325	38	H-V
2025-03-19	VJY-HYD-AC-SE-0430	59	V-H
2025-03-19	VJY-HYD-AC-SE-0900	60	V-H
2025-03-19	VJY-HYD-AC-SE-1000	41	V-H
2025-03-19	VJY-HYD-AC-SE-1050	53	V-H
2025-03-19	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-19	VJY-HYD-AC-SE-1600	50	V-H
2025-03-19	VJY-HYD-AC-SE-1700	51	V-H
2025-03-19	VJY-HYD-AC-SE-2130	57	V-H
2025-03-19	VJY-HYD-AC-SE-2230	43	V-H
2025-03-19	VJY-HYD-AC-SE-2300	44	V-H
2025-03-19	VJY-HYD-AC-SE-2330	52	V-H
2025-03-20	HYD-VJY-AC-SE-0415	55	H-V
2025-03-20	HYD-VJY-AC-SE-0530	47	H-V
2025-03-20	HYD-VJY-AC-SE-0900	76	H-V
2025-03-20	HYD-VJY-AC-SE-1010	39	H-V
2025-03-20	HYD-VJY-AC-SE-1100	49	H-V
2025-03-20	HYD-VJY-AC-SE-1140	40	H-V
2025-03-20	HYD-VJY-AC-SE-1500	58	H-V
2025-03-20	HYD-VJY-AC-SE-2110	61	H-V
2025-03-20	HYD-VJY-AC-SE-2200	48	H-V
2025-03-20	HYD-VJY-AC-SE-2220	37	H-V
2025-03-20	HYD-VJY-AC-SE-2325	38	H-V
2025-03-20	VJY-HYD-AC-SE-0430	59	V-H
2025-03-20	VJY-HYD-AC-SE-0900	60	V-H
2025-03-20	VJY-HYD-AC-SE-1000	41	V-H
2025-03-20	VJY-HYD-AC-SE-1050	53	V-H
2025-03-20	VJY-HYD-AC-SE-11300R	100	V-H
2025-03-20	VJY-HYD-AC-SE-1600	50	V-H
2025-03-20	VJY-HYD-AC-SE-1700	51	V-H
2025-03-20	VJY-HYD-AC-SE-2130	57	V-H
2025-03-20	VJY-HYD-AC-SE-2230	43	V-H
2025-03-20	VJY-HYD-AC-SE-2300	44	V-H
2025-03-20	VJY-HYD-AC-SE-2330	52	V-H
2025-03-21	HYD-VJY-AC-SE-0415	55	H-V
2025-03-21	HYD-VJY-AC-SE-0530	47	H-V
2025-03-21	HYD-VJY-AC-SE-0900	76	H-V
2025-03-21	HYD-VJY-AC-SE-1010	39	H-V
2025-03-21	HYD-VJY-AC-SE-1100	49	H-V
2025-03-21	HYD-VJY-AC-SE-1140	40	H-V
2025-03-21	HYD-VJY-AC-SE-15300R	119	H-V
2025-03-21	HYD-VJY-AC-SE-2110	61	H-V
2025-03-21	HYD-VJY-AC-SE-2200	48	H-V
2025-03-21	HYD-VJY-AC-SE-2220	37	H-V
